ts_code,total_assets,total_liab,goodwill
920017.BJ,1813108977.02,324497266.85,0.0
920017.BJ,1813108977.02,324497266.85,0.0
920017.BJ,1795913465.78,303649392.01,0.0
920017.BJ,1795913465.78,303649392.01,0.0
920017.BJ,1398140173.93,278319784.97,
920017.BJ,1398140173.93,278319784.97,
920017.BJ,1395161839.46,295711034.47,
920017.BJ,1395161839.46,295711034.47,
920017.BJ,1311512869.18,273549902.94,
920017.BJ,1311512869.18,273549902.94,
920017.BJ,1305898336.43,317918431.76,
920017.BJ,1305898336.43,317918431.76,
