ts_code,total_assets,total_liab,goodwill
603201.SH,2297175978.75,1019563352.57,
603201.SH,1862009769.11,1155044199.0,
603201.SH,1922366757.23,1260308219.49,
603201.SH,1912881561.55,1279329940.25,
603201.SH,1785584147.52,1243118496.3,
603201.SH,1743396626.98,1253735435.52,
603201.SH,1743396626.98,1253735435.52,
603201.SH,1743396626.98,1253735435.52,
603201.SH,1473669813.62,1118433801.29,
603201.SH,1473669813.62,1118433801.29,
603201.SH,1473669813.62,1118433801.29,
603201.SH,1660504930.62,1438338728.11,
