ts_code,total_assets,total_liab,goodwill
920689.BJ,598252900.75,204325100.73,
920689.BJ,598252900.75,204325100.73,
920689.BJ,570022416.7,189372385.36,
920689.BJ,567161883.22,176912366.53,
920689.BJ,567161883.22,176912366.53,
920689.BJ,489826840.68,200822589.18,
920689.BJ,489826840.68,200822589.18,
920689.BJ,472484268.89,205683540.71,
920689.BJ,408754869.62,165382556.24,
920689.BJ,408754869.62,165382556.24,
920689.BJ,377264898.5,141167335.18,
920689.BJ,377264898.5,141167335.18,
920689.BJ,365944246.27,139776502.65,
