ts_code,total_assets,total_liab,goodwill
300951.SZ,2219527871.45,348889597.68,
300951.SZ,2219527871.45,348889597.68,
300951.SZ,1997218848.74,227220478.11,
300951.SZ,2010010942.85,180173539.87,
300951.SZ,2010010942.85,180173539.87,
300951.SZ,627115278.36,236685985.84,
300951.SZ,627115278.36,236685985.84,
300951.SZ,350122901.58,99204668.96,
300951.SZ,350122901.58,99204668.96,
300951.SZ,438409941.52,159359389.92,
300951.SZ,438409941.52,159359389.92,
300951.SZ,366964505.73,183644898.57,
300951.SZ,224916079.89,126388408.61,
