ts_code,total_assets,total_liab,goodwill
605259.SH,1793916847.45,489633805.7,
605259.SH,1793916847.45,489633805.7,
605259.SH,1847809228.2,584634852.48,
605259.SH,1266457195.3,572276014.81,
605259.SH,1266457195.3,572276014.81,
605259.SH,1213247132.41,548564778.3,
605259.SH,1213247132.41,548564778.3,
605259.SH,1017719073.33,410440703.71,
605259.SH,1017719073.33,410440703.71,
605259.SH,984545056.19,437164328.64,
605259.SH,984545056.19,437164328.64,
605259.SH,831194562.57,373820443.34,
605259.SH,831194562.57,373820443.34,
605259.SH,683215243.5,262216777.33,
