ts_code,total_assets,total_liab,goodwill
301007.SZ,794519296.93,212289249.77,50774526.05
301007.SZ,794519296.93,212289249.77,50774526.05
301007.SZ,941908059.5,371135451.11,50774526.05
301007.SZ,738956176.39,348302251.16,50774526.05
301007.SZ,738956176.39,348302251.16,50774526.05
301007.SZ,696274570.03,322678063.13,50774526.05
301007.SZ,696274570.03,322678063.13,50774526.05
301007.SZ,640586292.02,308538820.27,50774526.05
301007.SZ,640586292.02,308538820.27,50774526.05
301007.SZ,588229471.22,290995241.2,50774526.05
301007.SZ,588229471.22,290995241.2,50774526.05
