ts_code,total_assets,total_liab,goodwill
605122.SH,3190629814.94,905924339.87,
605122.SH,3190629814.94,905924339.87,
605122.SH,2976999335.18,729298908.15,
605122.SH,3284510239.77,989390518.02,
605122.SH,3284510239.77,989390518.02,
605122.SH,2117186753.13,1096673144.17,
605122.SH,2117186753.13,1096673144.17,
605122.SH,2094323903.54,1214270988.78,
605122.SH,2094323903.54,1214270988.78,
605122.SH,2052585339.1,1278090643.49,
605122.SH,2052585339.1,1278090643.49,
605122.SH,1737463447.78,1201178857.53,
605122.SH,1329618277.38,942168764.25,
