ts_code,total_assets,total_liab,goodwill
688281.SH,3881477195.43,210885709.18,
688281.SH,3828078270.08,233260187.75,
688281.SH,3716373255.56,162936629.66,
688281.SH,768388438.02,232445087.36,
688281.SH,768388438.02,232445087.36,
688281.SH,657483154.55,219847631.21,
688281.SH,657483154.55,219847631.21,
688281.SH,572677027.63,181064938.71,
688281.SH,562225087.86,259451210.39,
688281.SH,562225087.86,259451210.39,
688281.SH,300486058.89,171422344.16,
688281.SH,300486058.89,171422344.16,
688281.SH,176618025.37,110313657.13,
