ts_code,total_assets,total_liab,goodwill
688663.SH,1681062167.47,654536988.75,
688663.SH,1681062167.47,654536988.75,
688663.SH,1609698103.3,620087788.57,
688663.SH,1184665025.7,617587437.67,
688663.SH,1184665025.7,617587437.67,
688663.SH,1207084665.22,659859095.26,
688663.SH,1207084665.22,659859095.26,
688663.SH,1024851698.01,543007933.69,
688663.SH,1024851698.01,543007933.69,
688663.SH,992439825.96,509949285.85,
688663.SH,992439825.96,509949285.85,
688663.SH,830171418.08,423519442.97,
688663.SH,683678991.83,355840520.77,
