ts_code,total_assets,total_liab,goodwill
920249.BJ,1978110969.52,1185403810.08,
920249.BJ,1922072754.91,1123508091.29,0.0
920249.BJ,1922072754.91,1123508091.29,0.0
920249.BJ,2051646247.46,1194577185.02,
920249.BJ,1892592352.97,1138980003.76,0.0
920249.BJ,1892592352.97,1138980003.76,0.0
920249.BJ,1713944843.66,1014490940.66,
920249.BJ,1509613210.45,817776583.16,0.0
920249.BJ,1509613210.45,817776583.16,0.0
920249.BJ,993679362.13,503002171.59,
920249.BJ,993679362.13,503002171.59,
920249.BJ,1098354075.37,578644096.88,
920249.BJ,1098354075.37,578644096.88,
920249.BJ,1098354075.37,578760896.88,
