ts_code,total_assets,total_liab,goodwill
688655.SH,901158966.17,259956302.4,1878964.77
688655.SH,901158966.17,259956302.4,1878964.77
688655.SH,857279064.5,237202286.42,1878964.77
688655.SH,598693578.79,200385010.54,1878964.77
688655.SH,598693578.79,200385010.54,1878964.77
688655.SH,581262580.67,197197368.93,1878964.77
688655.SH,581262580.67,197197368.93,1878964.77
688655.SH,527779218.34,176753189.41,1878964.77
688655.SH,527779218.34,176753189.41,1878964.77
688655.SH,480776947.82,153255221.92,1878964.77
688655.SH,480776947.82,153255221.92,1878964.77
688655.SH,488509310.53,198805026.9,1878964.77
