ts_code,total_assets,total_liab,goodwill
920906.BJ,1262549074.79,706937522.95,
920906.BJ,1142458713.72,590189175.63,
920906.BJ,1142458713.72,590189175.63,
920906.BJ,1185039880.62,630078690.18,
920906.BJ,1185039880.62,630078690.18,
920906.BJ,1073258098.34,619906185.41,
920906.BJ,1093459999.33,642090899.24,
920906.BJ,1093459999.33,642090899.24,
920906.BJ,990536586.82,574635027.15,
920906.BJ,947488081.26,562379417.65,
920906.BJ,947488081.26,562379417.65,
920906.BJ,812662121.56,476737439.89,
920906.BJ,749773595.45,423384757.8,
