ts_code,total_assets,total_liab,goodwill
688113.SH,916082412.8,255857142.79,11847421.28
688113.SH,916082412.8,255857142.79,11847421.28
688113.SH,856931103.01,211282103.12,11847421.28
688113.SH,634023476.26,259716949.91,11847421.28
688113.SH,634023476.26,259716949.91,11847421.28
688113.SH,657016125.2,301381132.28,11847421.28
688113.SH,657016125.2,301381132.28,11847421.28
688113.SH,598186656.27,316819721.52,11847421.28
688113.SH,598186656.27,316819721.52,11847421.28
688113.SH,509517436.9,287097548.93,11847421.28
