ts_code,total_assets,total_liab,goodwill
688607.SH,939514196.41,89957930.64,
688607.SH,939514196.41,89957930.64,
688607.SH,923318247.44,90921678.48,
688607.SH,907311029.24,69064208.52,
688607.SH,431546055.04,62703014.06,
688607.SH,431546055.04,62703014.06,
688607.SH,406592228.52,66427223.74,
688607.SH,382351357.34,67978881.13,
688607.SH,382351357.34,67978881.13,
688607.SH,383056434.9,89441553.15,
688607.SH,383056434.9,89441553.15,
688607.SH,295738958.68,50530940.02,
688607.SH,255532171.13,61442154.96,
