ts_code,total_assets,total_liab,goodwill
001210.SZ,1516212631.54,330289740.45,873104.4
001210.SZ,1516212631.54,330289740.45,873104.4
001210.SZ,910117360.21,267797150.14,873104.4
001210.SZ,970469330.91,313781628.26,873104.4
001210.SZ,970469330.91,313781628.26,873104.4
001210.SZ,1117094892.68,568649199.0,873104.4
001210.SZ,1117094892.68,568649199.0,873104.4
001210.SZ,811278397.4,301695955.93,873104.4
001210.SZ,811278397.4,301695955.93,873104.4
001210.SZ,1077150628.19,622864346.88,873104.4
001210.SZ,1077150628.19,622864346.88,873104.4
001210.SZ,1057322542.0,668187406.9,873104.4
001210.SZ,915613665.97,508255148.5,873104.4
