ts_code,total_assets,total_liab,goodwill
300955.SZ,1322111825.64,395388805.22,
300955.SZ,1322111825.64,395388805.22,
300955.SZ,1291716793.42,392259411.97,
300955.SZ,1298041154.67,373640553.32,
300955.SZ,1298041154.67,373640553.32,
300955.SZ,873929046.4,345128984.32,
300955.SZ,873929046.4,345128984.32,
300955.SZ,750606212.09,275261258.66,
300955.SZ,750606212.09,275261258.66,
300955.SZ,697099780.03,261649767.84,
300955.SZ,697099780.03,261649767.84,
300955.SZ,639134226.14,270588121.51,
300955.SZ,515962091.34,190380110.16,
