ts_code,total_assets,total_liab,goodwill
301085.SZ,718058717.41,296385142.79,865400.38
301085.SZ,718058717.41,296385142.79,865400.38
301085.SZ,554215803.65,159089207.23,865400.38
301085.SZ,591807767.94,239761131.65,865400.38
301085.SZ,591807767.94,239761131.65,865400.38
301085.SZ,472009869.33,164364514.07,865400.38
301085.SZ,472009869.33,164364514.07,865400.38
301085.SZ,846204489.53,572386590.1,865400.38
301085.SZ,846204489.53,572386590.1,865400.38
301085.SZ,423965210.3,246750354.98,
301085.SZ,285651972.48,154440567.29,
