ts_code,total_assets,total_liab,goodwill
688660.SH,31578070885.02,23969331228.62,7293123.0
688660.SH,31578070885.02,23969331228.62,7293123.0
688660.SH,35153899590.83,27681903468.07,7293123.0
688660.SH,32041769266.19,27597394467.07,7293123.0
688660.SH,32041769266.19,27597394467.07,7293123.0
688660.SH,31766344403.9,27441753198.39,7293123.0
688660.SH,31766344403.9,27441753198.39,7293123.0
688660.SH,22256077069.6,18359582449.78,7293123.0
688660.SH,22256077069.6,18359582449.78,7293123.0
688660.SH,14522919517.25,12374348934.5,7293123.0
