ts_code,total_assets,total_liab,goodwill
605090.SH,8692830762.98,2699603960.46,1961287.66
605090.SH,8692830762.98,2699603960.46,1961287.66
605090.SH,7978841229.71,2208542150.53,1961287.66
605090.SH,5196624214.88,2222106146.93,1961287.66
605090.SH,5196624214.88,2222106146.93,1961287.66
605090.SH,4352463733.82,1660759605.21,1961287.66
605090.SH,4352463733.82,1660759605.21,1961287.66
605090.SH,3472245492.23,1320447802.79,1961287.66
605090.SH,3472245492.23,1320447802.79,1961287.66
605090.SH,3875427596.99,2095666042.51,1961287.66
