ts_code,total_assets,total_liab,goodwill
920367.BJ,503308090.94,35894172.08,164791.37
920367.BJ,502953543.58,43018266.61,164791.37
920367.BJ,502953543.58,43018266.61,164791.37
920367.BJ,510167699.87,46180127.01,164791.37
920367.BJ,510167699.87,46180127.01,164791.37
920367.BJ,353875321.26,71186539.18,164791.37
920367.BJ,353875321.26,71186539.18,164791.37
920367.BJ,305585137.91,46194446.93,164791.37
920367.BJ,282032972.79,45496463.44,164791.37
920367.BJ,282032972.79,45496463.44,164791.37
920367.BJ,296724566.05,63803622.92,0.0
920367.BJ,249783200.73,54122249.9,609080.89
